No.;Time;;TIME 1;TIME 2;DELAY;DELAY 1;DELAY 2;JITTER
158;4,175085;;4,175085;4,175085;0;-0,00172;0,00172;0,00344
159;4,175085;;4,175085;4,176805;0,00172;0,00172;-0,001555;-0,003275
160;4,176805;;4,176805;4,176805;0;-0,001555;0,001555;0,00311
161;4,176805;;4,176805;4,17836;0,001555;0,001555;-0,00228;-0,003835
162;4,17836;;4,17836;4,17836;0;-0,00228;0,00228;0,00456
163;4,17836;;4,17836;4,18064;0,00228;0,00228;-0,001634;-0,003914
164;4,18064;;4,18064;4,18064;0;-0,001634;0,001634;0,003268
165;4,18064;;4,18064;4,182274;0,001634;0,001634;-0,000146;-0,00178
166;4,182274;;4,182274;4,182274;0;-0,000146;-0,001809;-0,001663
167;4,182274;;4,182274;4,18242;0,000146;-0,001809;0,001955;0,003764
168;4,18242;;4,18242;4,184375;0,001955;0,001955;-4,90E-05;-0,002004
169;4,184375;;4,184375;4,184375;0;-4,90E-05;-0,000265;-0,000216
170;4,184375;;4,184375;4,184424;4,90E-05;-0,000265;0,000141;0,000406
171;4,184424;;4,184424;4,184738;0,000314;0,000141;4,60E-05;-9,50E-05
172;4,184738;;4,184738;4,184911;0,000173;4,60E-05;-0,002148;-0,002194
173;4,184911;;4,184911;4,185038;0,000127;-0,002148;0,002275;0,004423
174;4,185038;;4,185038;4,187313;0,002275;0,002275;-0,002835;-0,00511
175;4,187313;;4,187313;4,187313;0;-0,002835;0,002835;0,00567
176;4,187313;;4,187313;4,190148;0,002835;0,002835;0;-0,002835
177;4,190148;;4,190148;4,190148;0;0;-0,004019;-0,004019
178;4,190148;;4,190148;4,190148;0;-0,004019;0,002062;0,006081
179;4,190148;;4,190148;4,194167;0,004019;0,002062;0,001957;-0,000105
180;4,194167;;4,194167;4,196124;0,001957;0,001957;-0,000104;-0,002061
181;4,196124;;4,196124;4,196124;0;-0,000104;0,000104;0,000208
182;4,196124;;4,196124;4,196228;0,000104;0,000104;-4,70E-05;-0,000151
183;4,196228;;4,196228;4,196228;0;-4,70E-05;4,70E-05;9,40E-05
184;4,196228;;4,196228;4,196275;4,70E-05;4,70E-05;-6,20E-05;-0,000109
185;4,196275;;4,196275;4,196275;0;-6,20E-05;6,20E-05;0,000124
186;4,196275;;4,196275;4,196337;6,20E-05;6,20E-05;-0,002458;-0,00252
187;4,196337;;4,196337;4,196337;0;-0,002458;0,00232;0,004778
188;4,196337;;4,196337;4,198795;0,002458;0,00232;-0,00163;-0,00395
189;4,198795;;4,198795;4,198933;0,000138;-0,00163;0,001768;0,003398
190;4,198933;;4,198933;4,200701;0,001768;0,001768;0;-0,001768
191;4,200701;;4,200701;4,200701;0;0;0;0
192;4,200701;;4,200701;4,200701;0;0;-0,001305;-0,001305
193;4,200701;;4,200701;4,200701;0;-0,001305;-0,006383;-0,005078
194;4,200701;;4,200701;4,202006;0,001305;-0,006383;0,005233;0,011616
195;4,202006;;4,202006;4,209694;0,007688;0,005233;-0,001686;-0,006919
196;4,209694;;4,209694;4,212149;0,002455;-0,001686;-0,009928;-0,008242
197;4,212149;;4,212149;4,21629;0,004141;-0,009928;0,014069;0,023997
198;4,21629;;4,21629;4,230359;0,014069;0,014069;-0,001894;-0,015963
199;4,230359;;4,230359;4,230359;0;-0,001894;0,001894;0,003788
200;4,230359;;4,230359;4,232253;0,001894;0,001894;-0,001789;-0,003683
201;4,232253;;4,232253;4,232253;0;-0,001789;0,001789;0,003578
202;4,232253;;4,232253;4,234042;0,001789;0,001789;-0,003117;-0,004906
203;4,234042;;4,234042;4,234042;0;-0,003117;0,003117;0,006234
204;4,234042;;4,234042;4,237159;0,003117;0,003117;-0,005052;-0,008169
205;4,237159;;4,237159;4,237159;0;-0,005052;0,002087;0,007139
206;4,237159;;4,237159;4,242211;0,005052;0,002087;0,002965;0,000878
207;4,242211;;4,242211;4,245176;0,002965;0,002965;0;-0,002965
208;4,245176;;4,245176;4,245176;0;0;0;0
209;4,245176;;4,245176;4,245176;0;0;0;0
210;4,245176;;4,245176;4,245176;0;0;-0,000126;-0,000126
211;4,245176;;4,245176;4,245176;0;-0,000126;0,000126;0,000252
212;4,245176;;4,245176;4,245302;0,000126;0,000126;-4,30E-05;-0,000169
213;4,245302;;4,245302;4,245302;0;-4,30E-05;5,00E-06;4,80E-05
214;4,245302;;4,245302;4,245345;4,30E-05;5,00E-06;3,80E-05;3,30E-05
215;4,245345;;4,245345;4,245383;3,80E-05;3,80E-05;-0,000988;-0,001026
216;4,245383;;4,245383;4,245383;0;-0,000988;0,000988;0,001976
217;4,245383;;4,245383;4,246371;0,000988;0,000988;-0,000252;-0,00124
218;4,246371;;4,246371;4,246371;0;-0,000252;-0,001279;-0,001027
219;4,246371;;4,246371;4,246623;0,000252;-0,001279;0,001334;0,002613
220;4,246623;;4,246623;4,248154;0,001531;0,001334;-0,000198;-0,001532
221;4,248154;;4,248154;4,248351;0,000197;-0,000198;0,000395;0,000593
222;4,248351;;4,248351;4,248746;0,000395;0,000395;-0,001938;-0,002333
223;4,248746;;4,248746;4,248746;0;-0,001938;0,001938;0,003876
224;4,248746;;4,248746;4,250684;0,001938;0,001938;-0,004439;-0,006377
225;4,250684;;4,250684;4,250684;0;-0,004439;0,004439;0,008878
226;4,250684;;4,250684;4,255123;0,004439;0,004439;-0,000182;-0,004621
227;4,255123;;4,255123;4,255123;0;-0,000182;0,000182;0,000364
228;4,255123;;4,255123;4,255305;0,000182;0,000182;-0,001539;-0,001721
229;4,255305;;4,255305;4,255305;0;-0,001539;0,001539;0,003078
230;4,255305;;4,255305;4,256844;0,001539;0,001539;-0,000239;-0,001778
231;4,256844;;4,256844;4,256844;0;-0,000239;-0,001114;-0,000875
232;4,256844;;4,256844;4,257083;0,000239;-0,001114;0,001353;0,002467
233;4,257083;;4,257083;4,258436;0,001353;0,001353;-0,001738;-0,003091
234;4,258436;;4,258436;4,258436;0;-0,001738;0,001738;0,003476
235;4,258436;;4,258436;4,260174;0,001738;0,001738;-0,001963;-0,003701
236;4,260174;;4,260174;4,260174;0;-0,001963;0,001963;0,003926
237;4,260174;;4,260174;4,262137;0,001963;0,001963;-0,001906;-0,003869
238;4,262137;;4,262137;4,262137;0;-0,001906;0,001906;0,003812
239;4,262137;;4,262137;4,264043;0,001906;0,001906;-0,002022;-0,003928
240;4,264043;;4,264043;4,264043;0;-0,002022;0,002022;0,004044
241;4,264043;;4,264043;4,266065;0,002022;0,002022;-0,000181;-0,002203
242;4,266065;;4,266065;4,266065;0;-0,000181;-0,002106;-0,001925
243;4,266065;;4,266065;4,266246;0,000181;-0,002106;0,002287;0,004393
244;4,266246;;4,266246;4,268533;0,002287;0,002287;-0,00186;-0,004147
245;4,268533;;4,268533;4,268533;0;-0,00186;0,00186;0,00372
246;4,268533;;4,268533;4,270393;0,00186;0,00186;0;-0,00186
247;4,270393;;4,270393;4,270393;0;0;-0,00187;-0,00187
248;4,270393;;4,270393;4,270393;0;-0,00187;0,00187;0,00374
249;4,270393;;4,270393;4,272263;0,00187;0,00187;-0,002102;-0,003972
250;4,272263;;4,272263;4,272263;0;-0,002102;0,002102;0,004204
251;4,272263;;4,272263;4,274365;0,002102;0,002102;-0,001931;-0,004033
252;4,274365;;4,274365;4,274365;0;-0,001931;0,001931;0,003862
253;4,274365;;4,274365;4,276296;0,001931;0,001931;-0,00024;-0,002171
254;4,276296;;4,276296;4,276296;0;-0,00024;-0,001778;-0,001538
255;4,276296;;4,276296;4,276536;0,00024;-0,001778;0,002018;0,003796
256;4,276536;;4,276536;4,278554;0,002018;0,002018;-0,002184;-0,004202
257;4,278554;;4,278554;4,278554;0;-0,002184;0,002184;0,004368
258;4,278554;;4,278554;4,280738;0,002184;0,002184;-0,006385;-0,008569
259;4,280738;;4,280738;4,280738;0;-0,006385;0,005552;0,011937
260;4,280738;;4,280738;4,287123;0,006385;0,005552;-0,010339;-0,015891
261;4,287123;;4,287123;4,287956;0,000833;-0,010339;0,010459;0,020798
262;4,287956;;4,287956;4,299128;0,011172;0,010459;0,000713;-0,009746
263;4,299128;;4,299128;4,299841;0,000713;0,000713;-0,011579;-0,012292
264;4,299841;;4,299841;4,299841;0;-0,011579;0,010376;0,021955
265;4,299841;;4,299841;4,31142;0,011579;0,010376;0,001203;-0,009173
266;4,31142;;4,31142;4,312623;0,001203;0,001203;0;-0,001203
267;4,312623;;4,312623;4,312623;0;0;-0,003599;-0,003599
268;4,312623;;4,312623;4,312623;0;-0,003599;0,003599;0,007198
269;4,312623;;4,312623;4,316222;0,003599;0,003599;-0,001999;-0,005598
270;4,316222;;4,316222;4,316222;0;-0,001999;0,001999;0,003998
271;4,316222;;4,316222;4,318221;0,001999;0,001999;-0,002186;-0,004185
272;4,318221;;4,318221;4,318221;0;-0,002186;0,002186;0,004372
273;4,318221;;4,318221;4,320407;0,002186;0,002186;-0,001916;-0,004102
274;4,320407;;4,320407;4,320407;0;-0,001916;0,001916;0,003832
275;4,320407;;4,320407;4,322323;0,001916;0,001916;-0,000638;-0,002554
276;4,322323;;4,322323;4,322323;0;-0,000638;-0,000765;-0,000127
277;4,322323;;4,322323;4,322961;0,000638;-0,000765;0,001403;0,002168
